"","player","match_num","green armor taken","yellow armor taken","red armor taken","mega health taken","Lightning Gun accuracy percentage","rl skill average damage","frags","frag difference","spawn frags","damage given","speed average","server version","mod ktx version","client version","average ping","average packetloss","sv_antilag","demo writing epoch"
"1","andeh",1,8,14,14,12,29,77.8,25,7,4,6822,327.1,"MVDSV 1.20-dev","1.46-dev","ezQuake 8122",25.0735,0.00490196,"2","1745336551"
"2","andeh",2,6,14,11,8,36.5,76.5,37,26,5,8713,301.6,"MVDSV 1.20-dev","1.46-dev","ezQuake 8122",25.0882,0.0294118,"2","1745337170"
"3","andeh",3,12,11,15,12,31.5,79.8,46,17,8,8782,317.7,"MVDSV 1.20-dev","1.46-dev","ezQuake 8122",25.1127,0,"2","1745337789"
"4","andeh",4,12,12,8,8,32,78.4,18,8,1,7023,302.7,"MVDSV 1.20-dev","1.46-dev","ezQuake 8122",12.0147,0,"2","1748458901"
"5","andeh",5,7,8,12,8,36.4,71.2,32,18,4,8253,299.5,"MVDSV 1.20-dev","1.46-dev","ezQuake 8122",12.0147,0,"2","1748460180"
"6","andeh",6,7,13,10,11,33.9,74.3,36,28,4,9959,313.3,"MVDSV 1.20-dev","1.46-dev","ezQuake 8122",12.0098,0,"2","1748460818"
"7","Bernkaoch",1,8,17,14,10,26.2,72,19,4,2,5398,333.5,"MVDSV 1.20-dev","1.46-dev","ezQuake 1",78.3578,9.57353,"2","1745780213"
"8","Bernkaoch",10,10,12,13,11,31.5,72.9,33,26,7,8767,304.8,"MVDSV 1.20-dev","1.46-dev","ezQuake 1",38.0539,0,"2","1749232648"
"9","Bernkaoch",11,7,14,11,10,30.4,79.6,26,12,3,7472,314.8,"MVDSV 1.20-dev","1.46-dev","ezQuake 1",38.0637,0,"2","1749233318"
"10","Bernkaoch",12,12,15,9,11,25.9,75.8,17,5,2,6895,306.5,"MVDSV 1.20-dev","1.46-dev","ezQuake 1",38.1373,0,"2","1749233942"
"11","Bernkaoch",2,12,11,9,11,30.8,77.3,18,1,2,6117,320.3,"MVDSV 1.20-dev","1.46-dev","ezQuake 1",79.652,8.53922,"2","1745780839"
"12","Bernkaoch",3,9,19,9,13,30.9,77.2,36,17,8,7859,330.9,"MVDSV 1.20-dev","1.46-dev","ezQuake 1",80.1569,8.46569,"2","1745781473"
"13","Bernkaoch",4,8,12,17,12,31.8,78,39,18,3,8061,320.8,"MVDSV 1.20-dev","1.46-dev","ezQuake 1",67.1471,4.07843,"2","1746471663"
"14","Bernkaoch",5,9,17,10,13,32.2,78,47,30,7,8866,332.1,"MVDSV 1.20-dev","1.46-dev","ezQuake 1",66.8137,3.46078,"2","1746472287"
"15","Bernkaoch",6,12,12,15,9,30,77.5,29,-1,4,6971,331.6,"MVDSV 1.20-dev","1.46-dev","ezQuake 1",70.1512,3.27805,"2","1746472948"
"16","Bernkaoch",7,8,12,12,11,31.6,74,17,8,2,7179,301.7,"MVDSV 1.20-dev","1.46-dev","ezQuake 1",40.1275,0,"2","1747421884"
"17","Bernkaoch",8,10,19,12,11,34.3,70.2,20,2,2,8538,318.1,"MVDSV 1.20-dev","1.46-dev","ezQuake 1",40.2045,0,"2","1747423197"
"18","Bernkaoch",9,8,16,9,9,32.4,81.5,17,2,2,6731,327,"MVDSV 1.20-dev","1.46-dev","ezQuake 1",40.2549,0,"2","1747424035"
"19","bps",1,8,13,10,10,29.9,76.9,28,6,4,7099,314.6,"MVDSV 0.35","1.42","ezQuake 7960",38.8627,0,"2","1743628665"
"20","bps",2,11,9,12,10,29.3,75.2,28,13,2,6953,299,"MVDSV 1.20-dev-antilag-r402","1.46-dev-r402","ezQuake 7960",26.1078,0.00490196,"1","1743629405"
"21","bps",3,5,9,12,12,34.2,82.5,40,34,2,8134,289.4,"MVDSV 1.20-dev-antilag-r402","1.46-dev-r402","ezQuake 7960",26.348,0.0196078,"1","1744314254"
"22","bps",4,5,11,14,14,27.9,69.7,21,6,1,6062,302.7,"MVDSV 1.20-dev","1.46-dev","ezQuake 7960",12.4118,0,"2","1744314879"
"23","bps",5,6,9,12,7,40.5,72.5,27,15,5,8239,298.4,"MVDSV 1.20-dev","1.46-dev","ezQuake 7960",12.5588,0.00980392,"2","1744316135"
"24","bps",6,6,10,11,9,32.2,80.4,28,17,5,7936,302.4,"MVDSV 1.20-dev","1.46-dev","ezQuake 7960",12.5931,0,"2","1748032161"
"25","bps",7,12,6,13,10,34.4,76.1,14,1,3,5847,293,"MVDSV 1.20-dev","1.46-dev","ezQuake 7974",12.8186,0,"2","1750624321"
"26","bps",8,10,7,7,7,31.9,69.8,18,4,1,7245,286.1,"MVDSV 1.20-dev","1.46-dev","ezQuake 7974",38.0735,0.0392157,"2","1750624962"
"27","bps",9,10,10,10,7,32,70.7,20,6,4,6427,286,"MVDSV 1.20-dev","1.46-dev","ezQuake 7974",38.0049,0.0490196,"2","1750625591"
"28","er",1,5,14,15,12,25.6,75.1,37,29,3,7484,325.6,"MVDSV 1.20-dev","1.46-dev","ezQuake 1",38.0882,0.00980392,"2","1743961959"
"29","er",2,9,13,13,12,33.9,77.2,36,21,1,8311,326.2,"MVDSV 1.20-dev","1.46-dev","ezQuake 1",38.1029,0.0196078,"2","1743962590"
"30","er",3,9,18,8,11,31.5,75,27,5,4,7755,325.4,"MVDSV 1.20-dev","1.46-dev","ezQuake 1",38.0588,0.0441176,"2","1743963218"
"31","er",4,5,14,11,9,27.3,80.2,23,2,2,7759,315.2,"MVDSV 1.20-dev","1.46-dev","ezQuake 1",38.3873,0.151961,"2","1745441565"
"32","HoLy",1,9,16,12,12,32.1,74.2,33,22,4,7971,315.2,"MVDSV 1.20-dev","1.46-dev","ezQuake 7904",25.0343,0,"2","1743613157"
"33","HoLy",2,7,14,14,9,22.4,75.8,23,12,1,6216,302.5,"MVDSV 1.20-dev","1.46-dev","ezQuake 7904",25.0686,0,"2","1743613780"
"34","HoLy",3,16,12,9,12,28.2,71.9,26,10,4,6982,302.2,"MVDSV 1.20-dev","1.46-dev","ezQuake 7904",25.0343,0,"2","1743614402"
"35","HoLy",4,9,17,10,9,28.2,68.2,24,13,4,7134,298.7,"MVDSV 1.20-dev","1.46-dev","ezQuake 7904",25.0441,0,"2","1746554604"
"36","HoLy",5,7,19,12,13,25,72.1,32,25,1,6350,317.1,"MVDSV 1.20-dev","1.46-dev","ezQuake 7904",25.0441,0.0196078,"2","1746555851"
"37","HoLy",6,8,19,6,12,29.5,74.7,33,17,5,8516,314,"MVDSV 1.20-dev","1.46-dev","ezQuake 7904",25.0343,0.0196078,"2","1746556472"
"38","HoLy",7,7,16,11,14,26.9,77.9,31,16,6,7269,325.5,"MVDSV 1.20-dev","1.46-dev","ezQuake 7799",25.0049,0,"2","1748440164"
"39","HoLy",8,4,14,16,11,27.3,75.3,41,33,3,8454,316.4,"MVDSV 1.20-dev","1.46-dev","ezQuake 7799",25.0098,0.00980392,"2","1748440784"
"40","HoLy",9,4,17,14,13,29.3,74.5,48,38,5,8535,330.2,"MVDSV 1.20-dev","1.46-dev","ezQuake 7799",25.1471,0,"2","1748441406"
"41","LocKtar",1,11,16,5,11,36,76.4,24,9,5,7003,297.4,"MVDSV 1.10","1.45","ezQuake 1",12.2696,0,"2","1743706904"
"42","LocKtar",2,7,6,16,4,30.7,74.7,13,4,3,6112,299.6,"MVDSV 1.10","1.45","ezQuake 1",12.2598,0.00980392,"2","1743708150"
"43","LocKtar",3,16,9,7,9,34.9,69.5,16,3,4,7153,303,"MVDSV 1.10","1.45","ezQuake 1",12.2353,0,"2","1743708772"
"44","LocKtar",4,11,14,9,13,32.8,66.8,26,9,1,7137,298.9,"MVDSV 1.20-dev","1.46-dev","ezQuake 1",12,0,"2","1744315503"
"45","LocKtar",5,11,13,9,11,34,71.5,18,6,1,6274,298.3,"MVDSV 1.20-dev","1.46-dev","ezQuake 1",12.0049,0.00980392,"2","1748459520"
"46","Locust",1,4,17,7,12,37.4,72.7,28,25,3,7362,305.1,"MVDSV 1.20-dev","1.46-dev","ezQuake 1",13.1176,0.0147059,"2","1743796742"
"47","Locust",10,12,12,10,5,35.5,76.7,17,1,1,6252,313.4,"MVDSV 1.20-dev","1.46-dev","ezQuake 1",12.6716,0.0245098,"2","1750969258"
"48","Locust",11,14,10,12,9,30.4,68.7,19,0,3,6660,310.2,"MVDSV 1.20-dev","1.46-dev","ezQuake 1",12.7598,0.0245098,"2","1750969904"
"49","Locust",2,9,13,9,8,37.2,72.6,33,24,2,7893,307.6,"MVDSV 1.20-dev","1.46-dev","ezQuake 1",12.8431,0.0343137,"2","1743797365"
"50","Locust",3,8,12,10,8,37.8,76.6,36,22,3,8600,319,"MVDSV 1.20-dev","1.46-dev","ezQuake 1",12.7304,0.0245098,"2","1743797998"
"51","Locust",4,1,15,10,8,37.8,66.9,20,19,3,6551,284.4,"MVDSV 1.20-dev","1.46-dev","ezQuake 1",38.1912,0.0196078,"2","1744918224"
"52","Locust",5,6,10,10,7,41.9,70.3,19,12,2,6169,297.2,"MVDSV 1.20-dev","1.46-dev","ezQuake 1",38.3039,0.0147059,"2","1744918852"
"53","Locust",6,8,17,6,10,35.2,69.4,34,21,9,7224,322.9,"MVDSV 1.20-dev","1.46-dev","ezQuake 1",12.0245,0.0245098,"2","1748032805"
"54","Locust",7,11,8,9,5,37.4,72.1,16,1,2,6755,311.7,"MVDSV 1.20-dev","1.46-dev","ezQuake 1",12.0343,0.0245098,"2","1748033430"
"55","Locust",8,8,8,14,8,36.3,71.6,17,3,2,7083,303.8,"MVDSV 1.20-dev","1.46-dev","ezQuake 1",12.0392,0.00980392,"2","1748034075"
"56","Locust",9,6,13,10,8,43.8,65.6,26,22,3,8037,292.6,"MVDSV 1.20-dev","1.46-dev","ezQuake 1",12.8039,0.0196078,"2","1750968625"
"57","macisum",1,6,11,12,6,33.5,72.1,15,2,1,6153,307.7,"MVDSV 1.10","1.45","ezQuake 7783",25.5049,0.107843,"2","1743707525"
"58","pkk",1,8,6,20,10,25.5,73.6,22,4,0,8142,319.1,"MVDSV 1.20-dev","1.46-dev","ezQuake 8156",38.1856,0.0113636,"2","1743961140"
"59","pkk",2,11,12,11,10,29.8,77.8,20,3,4,6774,310.4,"MVDSV 1.20-dev","1.46-dev","ezQuake 8156",26.0735,0.00490196,"2","1744658766"
"60","pkk",3,4,8,9,6,24.7,69.9,10,4,3,5199,301.3,"MVDSV 1.20-dev","1.46-dev","ezQuake 8156",26.0735,0,"2","1744659387"
"61","pkk",4,3,11,14,10,23.5,77.3,24,20,8,6586,302.4,"MVDSV 1.20-dev","1.46-dev","ezQuake 8156",26.4216,0,"2","1744660811"
"62","pkk",5,6,6,15,5,26.5,78.7,23,8,5,6720,316.5,"MVDSV 1.20-dev","1.46-dev","ezQuake 8156",25.0245,0,"2","1746555230"
"63","speedball",1,2,14,15,9,27,74.1,25,19,2,6813,307,"MVDSV 1.20-dev","1.46-dev","ezQuake 7947",38.0588,0,"2","1743715674"
"64","speedball",10,6,12,13,9,33,70.8,23,6,3,6467,316.4,"MVDSV 1.20-dev-antilag-r402","1.46-dev-r402","ezQuake 7947",38.5735,0,"1","1749410692"
"65","speedball",2,4,12,15,9,25.7,76.8,34,24,10,7506,325.5,"MVDSV 1.20-dev","1.46-dev","ezQuake 7947",38.0196,0,"2","1743716295"
"66","speedball",3,4,8,16,10,26.2,74.5,34,31,6,7803,313.6,"MVDSV 1.20-dev","1.46-dev","ezQuake 7947",38.0735,0,"2","1743716916"
"67","speedball",4,6,13,11,9,24.7,71.8,10,0,1,4841,290.8,"MVDSV 1.20-dev","1.46-dev","ezQuake 7947",38.0539,0,"2","1744919476"
"68","speedball",5,3,14,15,12,24.8,78.2,27,19,1,7328,312.7,"MVDSV 1.20-dev","1.46-dev","ezQuake 7947",38.0245,0,"2","1745781493"
"69","speedball",6,5,13,13,12,28.6,70.3,17,5,3,6290,312.1,"MVDSV 1.20-dev","1.46-dev","ezQuake 7947",38.0294,0,"2","1745782116"
"70","speedball",7,7,13,12,11,27.1,66.5,26,18,3,6853,315.6,"MVDSV 1.20-dev","1.46-dev","ezQuake 7947",38.0049,0,"2","1745782748"
"71","speedball",8,6,13,14,12,33.9,76.4,25,17,2,7102,321.9,"MVDSV 1.20-dev-antilag-r402","1.46-dev-r402","ezQuake 7947",38.4755,0,"1","1749409443"
"72","speedball",9,4,12,11,10,27.9,71.5,23,16,4,6009,317.5,"MVDSV 1.20-dev-antilag-r402","1.46-dev-r402","ezQuake 7947",38.4902,0,"1","1749410071"
"73","tom",1,10,17,23,11,23.4,66.9,19,2,1,6588,318.5,"MVDSV 1.20-dev","1.46-dev","ezQuake 1",25.4432,0,"2","1744660007"
"74","Zepp",1,10,13,11,10,29.2,76.3,39,30,6,8828,317.6,"MVDSV 1.20-dev","1.46-dev","ezQuake 7947",26.4706,0,"2","1743971739"
"75","Zepp",10,12,13,9,9,27.6,79.9,28,14,2,7749,309.8,"MVDSV 1.20-dev","1.46-dev","ezQuake 7947",26.8922,0,"2","1748802002"
"76","Zepp",2,8,14,10,9,27.8,77.2,30,10,1,7523,321.3,"MVDSV 1.20-dev","1.46-dev","ezQuake 7947",26.3431,0.00490196,"2","1743972361"
